Identifiant;Titre;Date;Auteur;PaysENG;Source;Issn;Vl;Num;Pagination;Langue;Resume;Thematique;TNP;SousThematique;STNP;MotCle;Url
PASCAL/FRANCIS:13-0051618;How much sex is there in soap operas on British TV?;2012;"AL-SAYED (Rami); GUNTER (Barrie)";UNITED KINGDOM;Communications : (Sankt Augustin);0341-2059;37;4;329-344;Anglais;<Resume>Sexual depictions were analyzed in 139 episodes of seven drama serials on British mainstream television over a four-week period in November- December 2006. Scenes that depicted sexual behavior and talk about sexual matters were counted separately. Further distinctions were made on the basis of the levels of intimacy and the graphic nature of portrayals. A total of 506 sexual scenes were found that occurred at the rate of 6.5 per hour across the seven soaps, but this figure was inflated by one late-night serial that averaged 16.0 scenes per hourly episode. Nearly two-thirds of these scenes were restricted to talk about sexual matters, while the others contained overt depictions of sexual behavior. Sexual intercourse was relatively rare and restricted in terms of overt depictions to the late-night serial. Passionate kissing was far more prevalent throughout these programs regardless of the time of day the program was transmitted. When sexual intercourse was featured, this was generally in the context of loss of virginity or of infidelity.</Resume>;SCIENCES AND TECHNIQUES OF GENERAL USE;Sciences and Techniques of General Use;INFORMATION SCIENCE. DOCUMENTATION;Information Science. Documentation;;http://www.degruyter.com/view/j/commun.2012.37.issue-4/commun-2012-0019/commun-2012-0019.xml?format=INT
PASCAL/FRANCIS:13-0021396;Dealing with Paratextual Elements in Dubbing: A Pioneering Perspective from Catalonia;2011;MATAMALA (Anna);SPAIN;Meta : Journal des traducteurs;1492-1421;56;4;915-927;Anglais;<Resume>This article focuses on paratextuality in the realm of dubbing drawing on the author's professional experience as an audiovisual translator in Catalonia. After a brief discussion of the theoretical approach to paratextuality and the notion of audiovisual text, the article lists the main paratextual components in dubbing and describes how they are dealt with by audiovisual translators. The article focuses on fiction films, cartoons and television series, be they for cinema, television, Internet or DVD, and considers paratexts at two levels: in the audiovisual text itself and in the written synchronised translation.</Resume><Resume>Le présent article traite de la paratextualité dans le domaine du doublage. L'auteure fait appel à son expérience professionnelle de traductrice audiovisuelle en Catalogne. Après un bref bilan théorique sur la paratextualité et la notion de texte audiovisuel, l'article énumère les principaux éléments paratextuels dans le doublage et décrit comment ils sont traités par des traducteurs audiovisuels. Sont pris en compte des films de fiction, des dessins animés et des séries, que ce soit pour le cinéma, la télévision, Internet ou un DVD. Les paratextes sont analysés sous deux angles : dans le texte audiovisuel proprement dit et dans la traduction écrite synchronisée.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Catalogne; Doublage; Film; Paratexte; Texte audiovisuel; Traducteur; Traduction; Télévision";http://dx.doi.org/10.7202/1011260ar
PASCAL/FRANCIS:12-0417029;"""Get us the hell out of here"": Key words and trigrams in fictional television series";2012;BEDNAREK (Monika);AUSTRALIA;International journal of corpus linguistics;1384-6655;17;1;35-63;Anglais;<Resume>Based on the analysis of key words and trigrams, this paper explores characteristics of contemporary American English television dialogue. Using a corpus comprising dialogue from seven fictional series (five different genres) and the spoken part of the American National Corpus, key words and trigrams are compared to previous corpus linguistic studies of such dialogue (Mittmann 2006, Quaglio 2009) and further explored on the basis of concordances, with special emphasis on over-represented key words/trigrams and their potential to indicate informality and emotionality. The results suggest that the expression of emotion is a key defining feature of the language of television, cutting across individual series and different televisual genres.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Anglais américain; Corpus; Dialogue; Emotion; Linguistique de corpus; Mot clé; Série télévisée; Télévision";http://dx.doi.org/10.1075/ijcl.17.1.02bed
PASCAL/FRANCIS:12-0350982;Alcohol Portrayals in Movies, Music Videos and Soap Operas and Alcohol Use of Young People: Current Status and Future Challenges;2012;"ANSCHUTZ (Doeschka J.); ENGELS (Rutger C. M. E.); KOORDEMAN (Renske)";NETHERLANDS;Alcohol and alcoholism : (Oxford);0735-0414;47;5;612-623;Anglais;<Resume>Aims: To provide an overview of studies of the effects of alcohol portrayals in movies, music videos and soap operas on alcohol consumption among young people. Moreover, we highlight important issues that need to be addressed in future research. Methods: This paper reviews the current literature on alcohol portrayals on-screen and the associated gaps and challenges in alcohol media research. Results: Thirteen longitudinal studies, 8 cross-sectional studies and 6 experimental studies examined the effects of alcohol portrayals on-screen on alcohol consumption among young people. They showed a relation between on-screen alcohol exposure and onset and progression of alcohol consumption. A distinction can be made between long-term effects and immediate effects on alcohol consumption. Only lately, more attention has been paid to processes underlying the effects of on-screen alcohol exposure. Conclusion: Replication of findings and development of new research designs is essential. On-screen alcohol exposure does not affect everyone. It is important to test individual differences in susceptibility to on-screen alcohol portrayals. Further, not all media alcohol portrayal might provoke similar effects. It is therefore essential to test the effect of different types of alcohol portrayals.</Resume>;MEDICAL SCIENCES;Medical Sciences;"PSYCHOPATHOLOGY. PSYCHIATRY; TOXICOLOGY";"Psychopathology. Psychiatry; Toxicology";"Alcoolisme; Boisson alcoolisée; Cinéma; Consommation; Ethanol; Homme; Musique; Savon; Soap";http://dx.doi.org/10.1093/alcalc/ags073
PASCAL/FRANCIS:12-0339989;Are People Better at Recognizing Ambivalent Sexism on the Basis of the Non-standard Profiles than the Standard ASI Ones?;2012;"CHISANGO (Tadios); JAVANGWE (Gwatirera)";"SOUTH AFRICA; ZIMBABWE";Sex roles;0360-0025;67;1-2;69-82;Anglais;"<Resume>Kilianski and Rudman (1998) developed ""standard"" profiles of a benevolent and a hostile sexist man from the Ambivalent Sexism Inventory (ASI) and tested if a U.S. sample of female students would perceive them as referring to the same person (i.e. an ambivalent sexist). Results showed that although they appraised the benevolent sexist profile favourably, and the hostile sexist one unfavourably, they considered it unlikely that they could refer to the same man. We developed ""non-standard"" profiles similar to those used by Kilianski and Rudman, with the major difference that they were not made directly from the ASI, but on the basis of attitudes and actions of a realistic soap-opera character, and tested if they would be considered as referring to the same individual by a sample of 238 undergraduate students (81 males and 157 females) at the University of Zimbabwe. Our results showed that both male and female participants found it as difficult to detect ambivalent sexism on the basis of non-standard ASI profiles as on the basis of standard ASI profiles.</Resume>";FUNDAMENTAL AND APPLIED BIOLOGICAL SCIENCES. PSYCHOLOGY;Fundamental and Applied Biological Sciences. Psychology;PSYCHOLOGY. PSYCHOPHYSIOLOGY;Psychology. Psychophysiology;"Ambivalence; Homme; Hostilité; Milieu culturel; Rôle sexuel; Sexisme";http://dx.doi.org/10.1007/s11199-012-0146-2
PASCAL/FRANCIS:12-0337787;The New American Hero: Dexter, Serial Killer for the Masses;2012;DONNELLY (Ashley M.);UNITED STATES;Journal of popular culture;0022-3840;45;1;15-26;Anglais;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Américain; Héros; Série télévisée; Tueur en série; Amérique du Nord; Etats-Unis";http://dx.doi.org/10.1111/j.1540-5931.2011.00908.x
PASCAL/FRANCIS:12-0326922;The Theater of History: Carnivale, Deleuze, and the Possibility of New Beginnings;2011;BECKMAN (Frida);SWEDEN;Sub-stance;0049-2426;40;125;3-21;Anglais;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;HISTORY AND SCIENCES OF LITTERATURE;History and Sciences of Litterature;"Deleuze (G.); Histoire; Mémoire; Répétition; Siècle 20; Série télévisée; Temps; France";http://dx.doi.org/10.1353/sub.2011.0018
PASCAL/FRANCIS:12-0311790;Why Who Shot J. R. Matters: Dallas as the Pinnacle of Human Evolutionary Television;2012;FISHER (Maryanne L.);UNITED STATES;Review of general psychology;1089-2680;16;2;200-207;Anglais;"<Resume>The TV series Dallas remains one of the most popular shows to ever have been broadcast on American TV. It was a serialized prime-time soap opera with weekly 45 minute episodes that ran from 1978 until 1991. This long-running show is one of the few to have been entirely released in DVD format; all 14 seasons are available as of 2011, and reruns are still aired internationally. Hundreds of thousands of visitors still tour the Southfork Ranch used for filming, outside Dallas, Texas. I will argue that the reason for this show's success is because it routinely depicted themes that align with our evolved psychology. Using arguments that have been created to discuss literary Darwinism and gossip, I propose that this show depicted topics that have adaptive value; Dallas both exploits our evolved interests but also may act as a learning device for solving adaptive problems. Over the course of human evolution, it may have increased individual fitness to know who is wealthy or owns plentiful resources, has power and status, cheats on or poaches mates, engages in sibling rivalry, enhances their attractiveness, and so on. Dallas depicts these topics, and others, and thus, it is sensible that it would have been so successful among international audiences, and across decades.</Resume>";FUNDAMENTAL AND APPLIED BIOLOGICAL SCIENCES. PSYCHOLOGY;Fundamental and Applied Biological Sciences. Psychology;PSYCHOLOGY. PSYCHOPHYSIOLOGY;Psychology. Psychophysiology;"Article synthèse; Evolution biologique; Homme; Psychologie évolutionniste; Série télévisée; Télévision";http://dx.doi.org/10.1037/a0027915
PASCAL/FRANCIS:12-0276321;Flight of the Conchords: Recontextualizing the voices of popular culture;2011;GIBSON (Andy);NEW ZEALAND;Journal of sociolinguistics : (Print);1360-6441;15;5;603-626;Anglais;<Resume>Folk-comedy duo, Flight of the Conchords, have become one of New Zealand's most successful musical exports, having attracted a large international audience through their American-produced TV series. One of their central comic devices is to stylize well-known singers and their music. This article focuses on how Flight of the Conchords shift their phonetic style towards that of various target personas, and how they maintain their own voices as comedians in the process. An acoustic analysis compares Flight of the Conchords' pronunciation of four vowels (KIT, DRESS, TRAP, and GOAT) to the pronunciation of the pop singers being stylized. Both Jemaine Clement and Bret McKenzie manipulate their vowel production towards that of the targeted personas. They also maintain some distance from their targeted roles through a range of devices including the use of exaggerated phonetic style. Through their performances, Flight of the Conchords recontextualize and parody a range of popular cultural products, continuing the enregisterment of certain phonetic styles with the voices of well-known characterological figures.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Analyse acoustique; Culture populaire; Performance; Phonétique; Prononciation; Sociolinguistique; Voix";http://dx.doi.org/10.1111/j.1467-9841.2011.00515.x
PASCAL/FRANCIS:12-0265262;Ce que la fiction fait aux policiers. Réception des médias et identités professionnelles : CINEMA ET TRAVAIL;2012;LE SAULNIER (Guillaume);FRANCE;Travailler : (Revigny-sur-Ornain);1620-5340;;27;17-36;Français;<Resume>Cet article interroge la réception des fictions policières par les policiers. Fondé sur une enquête ethnographique de trois mois dans la police nationale, il souligne le rapport étroit mais ambivalent entre la réception des médias et les identités professionnelles. Pour les policiers, la fiction véhicule des stéréotypes réducteurs qui engendrent des malentendus et des vexations répétés avec le public, et à ce titre elle menace leur professionnalité. Mais cette critique massive et homogène coexiste avec une appétence marquée pour les séries nord-américaines et les films français. Par un aller-retour entre les récits imaginaires et les expériences vécues, les policiers prennent appui sur la fiction pour produire et justifier une définition subjective de leur rôle et de leur travail.</Resume>;FUNDAMENTAL AND APPLIED BIOLOGICAL SCIENCES. PSYCHOLOGY;Fundamental and Applied Biological Sciences. Psychology;PSYCHOLOGY. PSYCHOPHYSIOLOGY;Psychology. Psychophysiology;"Cinéma; Homme; Identité sociale; Policier; Représentation sociale; Rôle professionnel; Statut professionnel; Stéréotype; Télévision";http://dx.doi.org/10.3917/trav.027.0017
PASCAL/FRANCIS:12-0250850;Prosody of humor in Sex and the City;2011;"URIOS-APARISI (Eduardo); WAGNER (Manuela)";UNITED STATES;Pragmatics & cognition;0929-0907;19;3;507-529;Anglais;<Resume>This article investigates the role of prosody in conversational humor in the HBO series Sex and the City (SATC) in an exploratory study. Specifically, we examine how pitch and pauses are part of the prosodic bundle that can be used to mark an utterance as humoristic. We find that the use of prosodic resources participates not only in the marking but also the creation of humor. In this regard, we view pitch variation and pauses as having communicative strategies and cognitive benefits. They are part of the performance of humor and participate in the characterization of the personage. The authors suggest the existence of a repertoire of prosodic devices associated to humor and to a particular discourse.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Humour; Pragmatique; Prosodie; Télévision";http://dx.doi.org/10.1075/pc.19.3.06uri
PASCAL/FRANCIS:12-0248110;The Muhannad Effect: Media Panic, Melodrama, and the Arab Female Gaze;2012;SALAMANDRA (Christa);UNITED STATES;Anthropological quarterly;0003-5491;85;1;45-77;Anglais;<Resume>In the summer of 2008, the Saudi-owned, pan-Arab satellite television network Middle East Broadcasting Center (MBC) aired a failed Turkish soap opera, Gümü?, as the Arabized Noor, creating an overnight sensation and a media panic. Arab news media attributed a wave of domestic violence and divorce to the series' handsome lead actor, and his character's romantic deportment. This article combines content analysis of Noor, examination of online discourses surrounding the series, and interviews with its producers. It explores women's use of new media forms-satellite television and the Internet-to articulate desire and discontent, and the media panic these expressions induced among social and religious conservatives. Opposition to Noor-and to the idolization of its male lead-invokes older notions of women's potent sexual desire as a threat to the social order, and justifies their containment and control. The series' ambiguity, like that of Turkey itself, invokes binaries of East and West, Islam and secularism, tradition and modernity enabling a range of commentary on the state of Arab society in general, and sexual relations in particular. The Noor phenomenon created a forum where conflicting notions of Middle Eastern identity, sexual agency and gender relations vie for dominance.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Conservatisme; Désir féminin; Genre; Internet; Interprétation; Média; Mélodrame; Ordre social; Panique; Relation; Réaction; Réception; Sexualité; Série télévisée; Turc; Monde arabe";http://dx.doi.org/10.1353/anq.2012.0007
PASCAL/FRANCIS:12-0219243;Du cadavre au corps : Problématique visuelle du cadavre dans Six Feet Under;2011;BAYON (Estelle);FRANCE;Frontières;1916-0976;23;2;43-47;Français;<Resume>The series Six Feet Under, dedicated to the daily life of a family of undertakers, offers a new and original approach to the corpse. A raw approach with details of the science of body preservation, it openly shows bodies, revealing the true role of embalming : erasing death from the dead body. Whether for bereaving families or for the TV viewer, the vision of a corpse is impossible without aesthetics and imagination which transform it into a body. To face the sight of a dead body, a visual filter is necessary which keeps the corpse at a distance maintaining the illusion of facing it. Our article studies some of these imaginaries : commercial, theatrical, grotesque, phantasmic, serial.</Resume><Resume>La série télévisée Six Feet Under, consacrée à la vie quotidienne d'une famille de directeurs de pompes funèbres, propose une approche inédite et originale du cadavre. Très crue dans les détails de la thanatopraxie, elle montre ouvertement des corps tout en dévoilant le véritable enjeu de l'embaumement : effacer la mort sur le mort. Que ce soit pour les familles du défunt ou pour le téléspectateur lui-même, la vision du cadavre ne peut se faire sans une esthétique, un imaginaire, qui le transforment en corps. Pour affronter la vision d'un mort, un filtre visuel est indispensable qui, sous l'illusion de la frontalité, n'est qu'une mise à distance du cadavérique. Notre article étudie quelques-unes de ces différentes imageries : commerciale, théâtrale, grotesque, fantasmatique, sérielle.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Corps; Emission télévisée; Esthétique; Imaginaire; Mort; Thanatopraxie";http://dx.doi.org/10.7202/1007589ar
PASCAL/FRANCIS:12-0194744;Dr House et Mister Toxicomane: La clef d'un succès;2011;GOMET (Fiona);FRANCE;Alcoologie et addictologie;1620-4522;33;4;309-313;Français;<Resume>Depuis 2007, les téléspectateurs français voient évoluer sur leurs écrans un personnage de série (Dr House) qui est à la fois médecin et toxicomane. Rencontrant un grand succès, cette série pose la question des implications liées à la mise en scène d'un docteur addict, notamment auprès d'un public adolescent. Méthode: des questionnaires ont été distribués auprès d'élèves de classes de troisième et de seconde et analysés afin de mettre au jour leurs manières de consommer les séries télévisuelles. Puis des entretiens ont été menés auprès de certains de ces élèves pour analyser leurs réactions face à un corpus comprenant les programmes fictionnels préférés des adolescents, dont Dr House. Résultats: malgré une claire représentation de la prise de drogues et de l'addiction du personnage principal, les adolescents semblent occulter cette caractéristique et concentrer leur attention sur d'autres traits de la personnalité du héros. Et lorsque la toxicomanie de ce médecin leur est rappelée, elle se révèle être l'une des manifestations de l'anticonformisme de cette figure héroïque et contribue donc au grand succès de cette série auprès du public juvénile. Conclusion: des interrogations peuvent alors émerger quant à la dangerosité potentielle d'une addiction qui s'efface alors même qu'elle est revendiquée, compte tenu du caractère prolongé de l'exposition au risque des adolescents ciblés.</Resume>;MEDICAL SCIENCES;Medical Sciences;PSYCHOPATHOLOGY. PSYCHIATRY;Psychopathology. Psychiatry;"Addiction; Adolescent; Médecin; Représentation; Réussite; Substance toxicomanogène; Série télévisée; Toxicomanie; Vision; France";http://cat.inist.fr/?aModele=afficheN&cpsidt=25273071
PASCAL/FRANCIS:12-0194741;Diagnostic et dépendance: La figure du médecin addict dans Dr House;2011;LEGAGNEUR (Marine);FRANCE;Alcoologie et addictologie;1620-4522;33;4;303-308;Français;<Resume>Une étude sémiologique de la figure du docteur House en tant que médecin dépendant révèle comment la série fait de l'addiction son principal moteur narratif et utilise le personnage comme support d'un débat éthique sur la bonne pratique de la médecine.</Resume>;MEDICAL SCIENCES;Medical Sciences;"PSYCHOPATHOLOGY. PSYCHIATRY; PUBLIC HEALTH. HYGIENE-OCCUPATIONAL MEDICINE";"Psychopathology. Psychiatry; Public Health. Hygiene-Occupational Medicine";"Addiction; Diagnostic; Dépendance; Ethique; Homme; Médecin; Personnel sanitaire; Santé mentale; Santé publique; Substance toxicomanogène; Toxicomanie; Télévision; France";http://cat.inist.fr/?aModele=afficheN&cpsidt=25273070
PASCAL/FRANCIS:12-0194740;"Les ""accros"" du bistouri: Chirurgie esthétique et dépendance dans Nip/Tuck";2011;LE PAJOLEC (Sebastien);FRANCE;Alcoologie et addictologie;1620-4522;33;4;297-302;Français;"<Resume>L'analyse de plusieurs cas de chirurgiens addicts démontre de quelle manière, dans la série Nip/Tuck, la dépendance est perçue comme l'expression contemporaine et maladive du lien social. De nombreux personnages, médecins comme patients, sont présentés comme des ""accros"", et toute la gamme des substances (alcool, drogues, médicaments, botox...) est convoquée. Dans ce grand théâtre des obsessions, la dépendance sexuelle s'avère être l'addiction la plus originale utilisée par ce conte moral pour déterminer le rôle social de la chirurgie esthétique.</Resume>";MEDICAL SCIENCES;Medical Sciences;"PSYCHOPATHOLOGY. PSYCHIATRY; SURGERY (GENERAL ASPECTS). TRANSPLANTATIONS, ORGAN AND TISSUE GRAFTS. GRAFT DISEASES";"Psychopathology. Psychiatry; Surgery (General Aspects). Transplantations, Organ and Tissue Grafts. Graft Diseases";"Addiction; Boisson alcoolisée; Chirurgie esthétique; Dépendance; Homme; Sexe; Substance toxicomanogène; Série télévisée; Traitement; Télévision; France";http://cat.inist.fr/?aModele=afficheN&cpsidt=25273069
PASCAL/FRANCIS:12-0183036;Media representations of minority French: Valorization, identity, and the Acadieman phenomenon;2011;"COMEAU (Philip); KING (Ruth)";UNITED STATES;The Canadian journal of linguistics;0008-4131;56;2;;Anglais;<Resume>Cet article traite du rôle de la représentation de la langue par les médias dans la promotion d'idéologies linguistiques et dans la construction d'identités. Il porte sur la présentation par les médias du chiac, une variété du français acadien habituellement stigmatisée. Nous considérons des manifestations de cette variété dans les aventures d'un superhéros, Acadieman, présentées dans une série d'animation télévisée entre 2005 et 2009 par la TV Rogers. D'abord nous situons Acadieman en termes des contextes linguistique et culturel dans lesquels le chiac est parlé. Ensuite, nous considérons la manière dont certaines connotations sociales sont créées via les contrastes entre les personnages parlant chiac et ceux qui parlent d'autres variétés. Alors que la juxtaposition des variétés est plutôt comique, à un autre niveau discursif, elle se sert d'indexicalisations complexes et valorise la variété locale et, par extension, ses locuteurs. Enfin, nous proposons que le phénomène Acadieman établit un espace discursif à l'intérieur duquel les identités acadiennes peuvent être négociées.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Acadien; Chiac; Contexte culturel; Contexte linguistique; Français; Identité; Idéologie; Minorité linguistique; Média; Promotion linguistique; Sociolinguistique; Variété linguistique";http://dx.doi.org/10.1353/cjl.2011.0018
PASCAL/FRANCIS:12-0179175;GENDER, SPLITTING AND NON-RECOGNITION IN MAD MEN : Mad Men Television Series;2011;SLOCHOWER (Joyce);UNITED STATES;The American journal of psychoanalysis;0002-9548;71;4;381-386;Anglais;;FUNDAMENTAL AND APPLIED BIOLOGICAL SCIENCES. PSYCHOLOGY;Fundamental and Applied Biological Sciences. Psychology;PSYCHOANALYSIS;Psychoanalysis;"1960-1970; Agentivité; Clivage; Genre; Homme; Macho; Milieu culturel; Mâle; Psychanalyse appliquée; Reconnaissance; Sexe; Télévision; Etats-Unis";http://dx.doi.org/10.1057/ajp.2011.28
PASCAL/FRANCIS:12-0179174;Bodyguard of lies: the vicissitudes of deception among mad men and women : Mad Men Television Series;2011;PRINCE (Robert);UNITED STATES;The American journal of psychoanalysis;0002-9548;71;4;376-380;Anglais;;FUNDAMENTAL AND APPLIED BIOLOGICAL SCIENCES. PSYCHOLOGY;Fundamental and Applied Biological Sciences. Psychology;PSYCHOANALYSIS;Psychoanalysis;"Aliénation; Homme; Mauvaise foi; Mensonge; Psychanalyse; Psychanalyse appliquée; Télévision";http://dx.doi.org/10.1057/ajp.2011.31
PASCAL/FRANCIS:12-0179173;The World of Mad Men: Power, Surface and Passion : Mad Men Television Series;2011;GERSON (Mary-Joan);UNITED STATES;The American journal of psychoanalysis;0002-9548;71;4;370-375;Anglais;;FUNDAMENTAL AND APPLIED BIOLOGICAL SCIENCES. PSYCHOLOGY;Fundamental and Applied Biological Sciences. Psychology;PSYCHOANALYSIS;Psychoanalysis;"Après-guerre; Atemporalité; Couple; Epoque historique; Genre; Homme; Passion; Psychanalyse appliquée; Sexe; Superficie; Surface; Télévision";http://dx.doi.org/10.1057/ajp.2011.30
PASCAL/FRANCIS:12-0179172;Narcissism, mania and analysts' envy : Mad Men Television Series;2011;HIRSCH (Irwin);UNITED STATES;The American journal of psychoanalysis;0002-9548;71;4;363-369;Anglais;;FUNDAMENTAL AND APPLIED BIOLOGICAL SCIENCES. PSYCHOLOGY;Fundamental and Applied Biological Sciences. Psychology;PSYCHOANALYSIS;Psychoanalysis;"Cure psychanalytique; Délire grandeur; Envie; Homme; Macho; Manie; Mâle; Narcissisme; Psychanalyste; Société contemporaine; Transfert contretransfert; Télévision";http://dx.doi.org/10.1057/ajp.2011.29
PASCAL/FRANCIS:12-0155887;Le paradigme du déni social de la mort à l'épreuve des séries télévisées;2011;JULIER-COSTES (Martin);;Etudes sur la mort;1157-0466;;139;145-163;Français;<Resume>Cet article montre en quoi les séries télévisées sont des tentatives de mise en sens de la mort. Par une analyse de 15 d'entre elles, l'auteur identifie des figures de la mort contemporaine classées ici en deux groupes : les experts et les intermédiaires</Resume>;MEDICAL SCIENCES;Medical Sciences;PUBLIC HEALTH. HYGIENE-OCCUPATIONAL MEDICINE;Public Health. Hygiene-Occupational Medicine;"Déni; Mort; Représentation; Société; Soins palliatifs";http://dx.doi.org/10.3917/eslm.139.0145
PASCAL/FRANCIS:12-0155884;Image des professionnels de la mort au cinéma;2011;RUELLAN (Jean);;Etudes sur la mort;1157-0466;;139;119-123;Français;<Resume>Cet article analyse la relation entretenue par le cinéma ou les séries télévisées avec les différents métiers liés à la mort et la mort elle-même (valorisation ou au contraire absence de certaines professions comme les croquemorts par exemple). Pour l'auteur, le cinéma occidental reflète bien, par son ignorance volontaire des réalités de la mort, les interdits de cette même société. Selon lui, la production cinématographique contribue majoritairement au déni de la mort concrète</Resume>;MEDICAL SCIENCES;Medical Sciences;PUBLIC HEALTH. HYGIENE-OCCUPATIONAL MEDICINE;Public Health. Hygiene-Occupational Medicine;"Entreprise; Firm; Mort; Profession; Représentation; Sciences; Soins palliatifs; Télévision";http://dx.doi.org/10.3917/eslm.139.0119
PASCAL/FRANCIS:12-0149071;La peine capitale aux États-Unis à la croisée de la fiction à substrat professionnel et de la source primaire: une étude comparative;2011;CHAPON (Sandrine);FRANCE;A. sp. Anglais de spécialité;1246-8185;;60;21-39;Français;<Resume>Dans une perspective didactique, cet article présente une analyse contrastive de quatre documents relatifs à une affaire qui a fait date dans les annales juridiques américaines: l'arrêt Kennedy v. Louisiana dans lequel il est déclaré que la peine de mort est non conforme à la Constitution des États-Unis dans le cas d'un viol sur enfant n'ayant pas entraîné la mort de la victime. Nous analysons un article de presse, un épisode de série télévisuelle, la transcription officielle des plaidoiries devant les juges de la Cour suprême et l'arrêt qui s'y rapporte afin de comparer les savoirs spécialisés et la terminologie juridique présente dans chaque document. Cette approche quantitative cherche à déterminer si les documents comme la fiction télévisuelle à substrat professionnel et l'article de presse peuvent constituer des vecteurs pédagogiques du spécialisé suffisamment riches et complets sur le plan lexical et culturel pour des étudiants du secteur LANSAD.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Analyse contrastive; Analyse quantitative; Anglais; Article de presse; Didactique; Enseignement des langues; Etude comparative; Fiction à substrat professionnel; Langue de spécialité; Terminologie";http://dx.doi.org/10.4000/asp.2493
PASCAL/FRANCIS:12-0149065;From the cultural hegemony of English to online informal learning: Cluster frequency as an indicator of relevance in authentic documents;2011;SOCKETT (Geoffrey);FRANCE;A. sp. Anglais de spécialité;1246-8185;;60;5-20;Anglais;<Resume>La recherche sur l'apprentissage informel de l'anglais en ligne porte souvent sur la description des loisirs d'apprenants ayant un lien avec l'anglais et leur impact sur l'apprentissage formel. L'hégémonie culturelle de l'anglais dans les médias de masse en France fait que ces pratiques sont fréquentes parmi des étudiants spécialistes de disciplines autres que l'anglais. Le téléchargement ou visionnage en streaming de séries télévisées en version originale figure souvent parmi les activités informelles d'écoute, mais la pertinence des contenus langagiers de ces émissions pour l'apprentissage de la langue-cible reste à démontrer. Dans cette étude, nous construisons un corpus de transcriptions de séries télévisées correspondant à une année de visionnage par un étudiant du secteur LANSAD. Le corpus est analysé afin de faire ressortir les groupes de quatre mots les plus fréquents. Nous analysons le contenu linguistique de ces constructions et le classement par fréquence est ensuite comparé avec celui des mêmes constructions dans le British National Corpus. La corrélation entre ces deux classements permet de conclure que les constructions les plus fréquentes du corpus constituent des exemples pertinents de la langue cible.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Anglais; Apprentissage des langues; Collocation; Corpus; Enseignement des langues; Hégémonie culturelle; Transcription; Télévision";http://dx.doi.org/10.4000/asp.2469
PASCAL/FRANCIS:12-0144923;Talking about mediated representations: exploring ideologies and meanings;2011;GOEBEL (Zane);AUSTRALIA;Text & talk;1860-7330;31;3;293-314;Anglais;<Resume>This paper explores how attention to the talk of television viewers might provide a methodological addition to tools used for exploring language ideologies and the nexus between action, structure, and meaning. My empirical focus is the talk of a group of Indonesians who, while watching an Indonesian soap opera, engage in discussions about the meanings of an unfamiliar word. In addition to adding further support to discussions about the multiple, situated, and active construction of meaning, I show how the social domain of one meaning widens over interactional time while also showing how contestations over the meanings of this word provide insights into these participants' ideologies about sign usage and users.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Conversation; Facteur socioculturel; Idéologie; Indonésien; Interaction; Média; Méthodologie; Signe; Télévision";http://dx.doi.org/10.1515/text.2011.013
PASCAL/FRANCIS:12-0140522;Qualitative-quantitative analysis of narrative structures: The narrative roles of immigrants in Spanish television series;2011;"FERRES (Joan); OBRADORS (Matilde); PEREZ (Oliver); PUJADAS (Eva); RUIZ COLLANTES (Xavier)";;Semiotica;0037-1998;184;1-4;99-121;Anglais;<Resume>This paper presents a qualitative-quantitative method of analysis for semiotic narrative, applied to a case study of the image projected by immigrants in Spanish television series. The results contain five narrative prototypes in which immigrant characters tend to appear in Spanish television series. We consider the possible effects of recurring narrative settings on the construction of a public image of immigration in Spain.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Analyse de corpus; Espagnol; Etude de cas; Image sociale; Immigration; Structure narrative; Sémiotique; Série télévisée; Télévision";http://dx.doi.org/10.1515/semi.2011.024
